Days;Time;Slow1;Slow2;Fast1;Fast2
22/03/2017;20:00;0,78000000;0,29000000;0,28920000;0,59560000
22/03/2017;20:15;0,75000000;0,43000000;0,20420000;0,35260000
22/03/2017;20:30;0,75000000;0,39000000;0,29680000;0,44760000
22/03/2017;20:45;0,55000000;0,14000000;0,26060000;0,41220000
22/03/2017;21:00;0,15000000;0,13000000;0,23120000;0,34680000
22/03/2017;21:15;0,10000000;0,09000000;0,13860000;0,23860000
22/03/2017;21:30;0,14000000;0,04000000;0,15340000;0,17400000
22/03/2017;21:45;0,19000000;0,10000000;0,10920000;0,16600000
22/03/2017;22:00;0,20000000;0,10000000;0,10840000;0,19560000
22/03/2017;22:15;0,15000000;0,05000000;0,05660000;0,16620000
22/03/2017;22:30;0,10000000;0,00000000;0,02040000;0,14400000
22/03/2017;22:45;0,05000000;0,00000000;0,01320000;0,09320000
22/03/2017;23:00;0,10000000;0,00000000;0,00660000;0,07840000
22/03/2017;23:15;0,10000000;0,00000000;0,00660000;0,07180000
22/03/2017;23:30;0,10000000;0,00000000;0,00000000;0,06440000
22/03/2017;23:45;0,05000000;0,00000000;0,00000000;0,05700000
22/03/2017;24:00;0,00000000;0,00000000;0,00000000;0,05700000
23/03/2017;00:15;0,00000000;0,00000000;0,00000000;0,05700000
23/03/2017;00:30;0,04000000;0,18000000;0,00000000;0,07180000
23/03/2017;00:45;0,04000000;0,18000000;0,00000000;0,07180000
23/03/2017;01:00;0,00000000;0,09000000;0,00000000;0,07180000
23/03/2017;01:15;0,10000000;0,10000000;0,02140000;0,07180000
23/03/2017;01:30;0,10000000;0,25000000;0,02140000;0,06460000
23/03/2017;01:45;0,05000000;0,15000000;0,03620000;0,05740000
23/03/2017;02:00;0,05000000;0,15000000;0,03620000;0,10100000
23/03/2017;02:15;0,05000000;0,04000000;0,05760000;0,13560000
23/03/2017;02:30;0,05000000;0,04000000;0,11680000;0,16360000
23/03/2017;02:45;0,15000000;0,04000000;0,12420000;0,15620000
